https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1609027200000,2020-12-27 00:00:00,BTC/USDT,26493.40000000,26542.99000000,26488.41000000,26541.98000000,154.93351300,4109441.73976216,3382
1608940800000,2020-12-26 00:00:00,BTC/USDT,24712.47000000,26867.03000000,24500.00000000,26493.39000000,97806.51338600,2496533065.17558060,1735574
1608854400000,2020-12-25 00:00:00,BTC/USDT,23728.99000000,24789.86000000,23433.60000000,24712.47000000,79519.94356900,1919766316.66773676,1504426
1608768000000,2020-12-24 00:00:00,BTC/USDT,23232.39000000,23794.43000000,22703.42000000,23729.20000000,69013.83425200,1602394244.07677159,1421257
1608681600000,2020-12-23 00:00:00,BTC/USDT,23810.79000000,24100.00000000,22600.00000000,23232.76000000,119047.25973300,2797688007.07187929,2194611
1608595200000,2020-12-22 00:00:00,BTC/USDT,22719.88000000,23837.10000000,22353.40000000,23810.79000000,87033.12616000,2010758620.24352682,1496277
1608508800000,2020-12-21 00:00:00,BTC/USDT,23455.54000000,24102.77000000,21815.00000000,22719.71000000,88030.29724300,2035446293.92897096,1593949
1608422400000,2020-12-20 00:00:00,BTC/USDT,23821.60000000,24295.00000000,23060.00000000,23455.52000000,76690.14568500,1810862074.73030801,1743225
1608336000000,2020-12-19 00:00:00,BTC/USDT,23107.39000000,24171.47000000,22750.00000000,23821.61000000,86045.06467700,2018969878.88686757,1678611
1608249600000,2020-12-18 00:00:00,BTC/USDT,22797.15000000,23285.18000000,22350.00000000,23107.39000000,79646.13431500,1820875361.29459761,1613775
1608163200000,2020-12-17 00:00:00,BTC/USDT,21335.52000000,23800.00000000,21230.00000000,22797.16000000,184882.47674800,4196645567.42587731,2795084
1608076800000,2020-12-16 00:00:00,BTC/USDT,19426.43000000,21560.00000000,19278.60000000,21335.52000000,114306.33557000,2325135958.64184128,1659135
1607990400000,2020-12-15 00:00:00,BTC/USDT,19273.69000000,19570.00000000,19050.00000000,19426.43000000,61834.36601100,1196361527.92580183,1046423
1607904000000,2020-12-14 00:00:00,BTC/USDT,19174.99000000,19349.00000000,19000.00000000,19273.14000000,47257.20129400,906101687.73959502,842382
1607817600000,2020-12-13 00:00:00,BTC/USDT,18808.69000000,19411.00000000,18711.12000000,19174.99000000,56560.82174400,1083520569.09485384,938022
1607731200000,2020-12-12 00:00:00,BTC/USDT,18036.53000000,18948.66000000,18020.70000000,18808.69000000,49519.97843200,915552835.90618337,891810
1607644800000,2020-12-11 00:00:00,BTC/USDT,18254.81000000,18292.73000000,17572.33000000,18036.53000000,72610.72425900,1301081647.30790015,1117810
1607558400000,2020-12-10 00:00:00,BTC/USDT,18541.29000000,18557.32000000,17911.12000000,18254.63000000,52890.67509400,966149529.00060708,891151
1607472000000,2020-12-09 00:00:00,BTC/USDT,18324.11000000,18639.57000000,17650.00000000,18541.28000000,79585.55380100,1450130664.06458426,1302476
