,bitfinex,bitstamp,coinbase,kraken,binance
bitfinex,1.0,0.9998572558362439,0.9998623697123343,0.999863314674023,0.9980612163616542
bitstamp,0.9998572558362439,1.0,0.999994921302111,0.9999950758712072,0.9980663553320256
coinbase,0.9998623697123343,0.999994921302111,1.0,0.9999984141949263,0.9980668725540714
kraken,0.999863314674023,0.9999950758712072,0.9999984141949263,1.0,0.9980775550088851
binance,0.9980612163616542,0.9980663553320256,0.9980668725540714,0.9980775550088851,1.0
