Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,MinerRevenue,USDT_marketcap,USDT_price,BTC_marketcap,BTC_price,USDC_marketcap,USDC_price,USDT_supply,forward_1_day_bitstamp_return,last_1_days_USDT_supply_increase,1_day_MinerRevenue,forward_7_day_bitstamp_return,last_7_days_USDT_supply_increase,7_day_MinerRevenue,forward_14_day_bitstamp_return,last_14_days_USDT_supply_increase,14_day_MinerRevenue,forward_21_day_bitstamp_return,last_21_days_USDT_supply_increase,21_day_MinerRevenue,forward_30_day_bitstamp_return,last_30_days_USDT_supply_increase,30_day_MinerRevenue,forward_45_day_bitstamp_return,last_45_days_USDT_supply_increase,45_day_MinerRevenue,forward_60_day_bitstamp_return,last_60_days_USDT_supply_increase,60_day_MinerRevenue,forward_180_day_bitstamp_return,last_180_days_USDT_supply_increase,180_day_MinerRevenue,forward_365_day_bitstamp_return,last_365_days_USDT_supply_increase,365_day_MinerRevenue,mtgox,coinbase/bitfinex,bitfinex-coinbase,google trends,google trends isPartial
2010-08-09,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.071,,,,
2010-08-10,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.07,,,,
2010-08-11,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.067,,,,
2010-08-12,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.07,,,,
2010-08-13,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0645,,,,
2010-08-14,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.067,,,,
2010-08-15,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.06529,,,0.0,False
2010-08-16,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.0655,,,,
2010-08-17,,,,,,,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,0.07,,,,
2010-08-18,,,,,,,,,,472.6092,,,,,,,,,,472.6092,,,472.6092,,,472.6092,,,472.6092,,,472.6092,,,,,,,,,,,,,0.068,,,,
2010-08-19,,,,,,,,,,479.5,,,,,,,,,,479.5,,,952.1092,,,952.1092,,,952.1092,,,952.1092,,,,,,,,,,,,,0.0667,,,,
2010-08-20,,,,,,,,,,682.5,,,,,,,,,,682.5,,,1634.6091999999999,,,1634.6091999999999,,,1634.6091999999999,,,1634.6091999999999,,,,,,,,,,,,,0.0655,,,,
2010-08-21,,,,,,,,,,605.5,,,,,,,,,,605.5,,,2240.1092,,,2240.1092,,,2240.1092,,,2240.1092,,,,,,,,,,,,,0.0664,,,,
2010-08-22,,,,,,,,,,742.0,,,,,,,,,,742.0,,,2982.1092,,,2982.1092,,,2982.1092,,,2982.1092,,,,,,,,,,,,,0.066,,,0.0,False
2010-08-23,,,,,,,,,,752.5,,,,,,,,,,752.5,,,3734.6092,,,3734.6092,,,3734.6092,,,3734.6092,,,,,,,,,,,,,0.06491,,,,
2010-08-24,,,,,,,,,,759.556,,,,,,,,,,759.556,,,4494.1651999999995,,,4494.1651999999995,,,4494.1651999999995,,,4494.1651999999995,,,,,,,,,,,,,0.065,,,,
2010-08-25,,,,,,,,,,770.0,,,,,,,,,,770.0,,,4791.556,,,5264.1651999999995,,,5264.1651999999995,,,5264.1651999999995,,,,,,,,,,,,,0.0648,,,,
2010-08-26,,,,,,,,,,1008.0,,,,,,,,,,1008.0,,,5320.056,,,6272.1651999999995,,,6272.1651999999995,,,6272.1651999999995,,,,,,,,,,,,,0.064,,,,
2010-08-27,,,,,,,,,,598.5,,,,,,,,,,598.5,,,5236.056,,,6870.6651999999995,,,6870.6651999999995,,,6870.6651999999995,,,,,,,,,,,,,0.065,,,,
2010-08-28,,,,,,,,,,595.000000077,,,,,,,,,,595.0000000770001,,,5225.556000076999,,,7465.665200076999,,,7465.665200076999,,,7465.665200076999,,,,,,,,,,,,,0.0641,,,,
2010-08-29,,,,,,,,,,498.0144,,,,,,,,,,498.01440000000014,,,4981.570400076999,,,7963.679600076999,,,7963.679600076999,,,7963.679600076999,,,,,,,,,,,,,0.064,,,0.0,False
2010-08-30,,,,,,,,,,535.5252,,,,,,,,,,535.5252,,,4764.595600076999,,,8499.204800077,,,8499.204800077,,,8499.204800077,,,8499.204800077,,,,,,,,,,0.06497,,,,
2010-08-31,,,,,,,,,,644.014000021,,,,,,,,,,644.0140000209999,,,4649.053600097999,,,9143.218800097999,,,9143.218800097999,,,9143.218800097999,,,9143.218800097999,,,,,,,,,,0.06,,,,
2010-09-01,,,,,,,,,,471.004800012,,,,,,,,,,471.0048000119999,,,4350.058400109999,,,9141.614400109998,,,9614.22360011,,,9614.22360011,,,9614.22360011,,,,,,,,,,0.0629,,,,
2010-09-02,,,,,,,,,,498.0,,,,,,,,,,497.99999999999994,,,3840.0584001099987,,,9160.114400109998,,,10112.22360011,,,10112.22360011,,,10112.22360011,,,,,,,,,,0.0634,,,,
2010-09-03,,,,,,,,,,504.0,,,,,,,,,,504.0,,,3745.5584001099987,,,8981.614400109998,,,10616.22360011,,,10616.22360011,,,10616.22360011,,,,,,,,,,0.06085,,,,
2010-09-04,,,,,,,,,,543.0,,,,,,,,,,543.0,,,3693.5584000329986,,,8919.114400109998,,,11159.22360011,,,11159.22360011,,,11159.22360011,,,,,,,,,,0.06238,,,,
2010-09-05,,,,,,,,,,495.0006,,,,,,,,,,495.0006000000001,,,3690.5446000329985,,,8672.115000109998,,,11654.224200109998,,,11654.224200109998,,,11654.224200109998,,,,,,,,,,0.0616,,,0.0,False
2010-09-06,,,,,,,,,,486.000000006,,,,,,,,,,486.000000006,,,3641.0194000389984,,,8405.615000115999,,,12140.224200116,,,12140.224200116,,,12140.224200116,,,,,,,,,,0.0616,,,,
2010-09-07,,,,,,,,,,534.0,,,,,,,,,,534.0,,,3531.0054000179985,,,8180.059000115998,,,12674.224200116,,,12674.224200116,,,12674.224200116,,,,,,,,,,0.061,,,,
2010-09-08,,,,,,,,,,513.000000024,,,,,,,,,,513.000000024,,,3573.0006000299986,,,7923.059000139998,,,12714.615000139998,,,13187.224200139999,,,13187.224200139999,,,,,,,,,,0.062,,,,
2010-09-09,,,,,,,,,,411.006600006,,,,,,,,,,411.006600006,,,3486.0072000359987,,,7326.065600145997,,,12646.121600145998,,,13598.230800145999,,,13598.230800145999,,,,,,,,,,0.06111,,,,
2010-09-10,,,,,,,,,,549.0000000059999,,,,,,,,,,549.0000000059999,,,3531.0072000419987,,,7276.565600151997,,,12512.621600151997,,,14147.230800152,,,14147.230800152,,,,,,,,,,0.0618,,,,
2010-09-11,,,,,,,,,,492.0,,,,,,,,,,492.0,,,3480.0072000419987,,,7173.565600074998,,,12399.121600151997,,,14639.230800152,,,14639.230800152,,,,,,,,,,0.06366,,,,
