,cdd_bitfinex,cdd_bitstamp,cdd_binance,cdd_kraken,cdd_bittrex,cdd_poloniex,cdd_itbit,cdd_gemini
cdd_bitfinex,1.0,0.9998936803473981,0.998914734396268,0.9998764120683253,0.9990600257700671,0.9999480495990105,0.9992866418562062,0.9982644128853994
cdd_bitstamp,0.9998936803473981,1.0,0.999610066770589,0.9999620183654226,0.9990639413162653,0.9999220255968921,0.999641821502454,0.9974124556398345
cdd_binance,0.998914734396268,0.999610066770589,1.0,0.9995076594745705,0.996961925390374,0.9999088893067802,0.9995182811700137,0.9929301335105399
cdd_kraken,0.9998764120683253,0.9999620183654226,0.9995076594745705,1.0,0.9990432777900676,0.9999019961163188,0.9995562962307368,0.9974014874433483
cdd_bittrex,0.9990600257700671,0.9990639413162653,0.996961925390374,0.9990432777900676,1.0,0.9990847837762851,0.9972324554610714,0.9970314788124367
cdd_poloniex,0.9999480495990105,0.9999220255968921,0.9999088893067802,0.9999019961163188,0.9990847837762851,1.0,0.9993394051945866,0.9971453851259472
cdd_itbit,0.9992866418562062,0.999641821502454,0.9995182811700137,0.9995562962307368,0.9972324554610714,0.9993394051945866,1.0,0.9924254322778556
cdd_gemini,0.9982644128853994,0.9974124556398345,0.9929301335105399,0.9974014874433483,0.9970314788124367,0.9971453851259472,0.9924254322778556,1.0
