,cdd_bitfinex,cdd_bitstamp,cdd_binance
cdd_bitfinex,1.0,0.9998232575489393,0.9999189664926347
cdd_bitstamp,0.9998232575489393,1.0,0.9999638243885571
cdd_binance,0.9999189664926347,0.9999638243885571,1.0
