,forward_1_day_bitstamp_return,forward_7_day_bitstamp_return,forward_14_day_bitstamp_return,forward_21_day_bitstamp_return,forward_30_day_bitstamp_return,forward_45_day_bitstamp_return,forward_60_day_bitstamp_return,forward_180_day_bitstamp_return
last_1_days_USDT_supply_increase,0.0279118116918643,0.07277347898497713,0.07632026479330728,0.075105362823343,0.08587033580727257,0.09756836969482524,0.07741737042590376,0.009819039716196146
last_7_days_USDT_supply_increase,0.050699894516871104,0.10452815003951653,0.1363382884782164,0.13987435910040144,0.1906917310792838,0.2053029385326337,0.15975269505668327,0.019705255507246888
last_14_days_USDT_supply_increase,0.0618149454015785,0.13438027776358857,0.16869285251244467,0.19423574708056446,0.23058320818172826,0.23827149502428932,0.19132353407341754,0.027784703633518853
last_21_days_USDT_supply_increase,0.0690179040411616,0.1489647437161656,0.19485190494002774,0.21650882318723944,0.25713268082887875,0.24891430881932147,0.21129233304374445,0.03276727979367762
last_30_days_USDT_supply_increase,0.07378208420728721,0.16368303667465947,0.20120883642878573,0.23395866540311833,0.2569798029340667,0.24663453373552646,0.21898355946024942,0.04265529765870942
last_45_days_USDT_supply_increase,0.07651004043486063,0.17511099151607243,0.21763635861775896,0.2353121998714501,0.25388019520669003,0.2559139174599019,0.24739085881189532,0.052995703861390527
last_60_days_USDT_supply_increase,0.07292595571724754,0.1684319091308413,0.21286830775145849,0.23595779784908902,0.2599725929053199,0.2790067997401808,0.2870617087446653,0.08210972529328789
last_180_days_USDT_supply_increase,0.07384762595657185,0.18059996223060273,0.22950376043278378,0.2508454077853497,0.27732063749864927,0.2920265114768325,0.29489277047729906,-0.025169101057588173
